amfi_code,alpha,beta
100016,0.03140466923064909,0.005301624145600864
100025,0.04358714357672734,-0.0032473994891285456
100033,0.262278075624826,0.024856626606138143
101206,0.2115156734922711,-4.9646233096418224e-05
101207,0.11857601092045428,-0.024013612869820743
101208,0.061093977320185025,0.00012591078476897752
102885,0.16897997950486243,-0.00820838805891718
102886,0.030099587290575443,-0.02971041698121618
102887,0.15230496635065355,0.01320222226595817
118632,0.2128361650325462,0.018332146495204583
118633,0.1573496512520716,-0.01520802604403047
118634,0.18144059903772602,0.016159386582977005
118635,0.14215268677842807,0.006191444221405378
118636,0.054109982247405645,-0.0019843612114953907
119092,0.07142412496628188,0.01817418829509043
119093,0.07056994472382347,0.016482859437698276
119094,0.25386490987755783,-0.027905895556904727
119095,0.06332392352675406,-0.020027005199054777
119120,0.05493835304096259,-0.00030385094877172187
119551,0.23069371834822508,-0.02545594596229897
119552,0.19845077956235269,-0.016413597677568333
119598,0.30770728070318626,-0.0031868358539593406
119599,0.06647153839605179,0.008523203757513864
120503,0.1833860868055952,0.0016048160221004552
120504,0.21274620201781275,-0.024546156556449907
120505,0.3019418142745217,-0.016487120112353176
120506,0.1561417961953712,0.027870780267585753
120507,0.06750101117311785,-0.0004125557778600792
120841,0.12699374918264195,-0.007478739300763972
120842,0.07862455778982382,-0.013151761727185898
120843,0.26910804125142895,-0.006792783961011995
120844,0.06480266895978519,-0.0004810888686301315
125497,0.1768080749490057,0.0074845814245965035
125498,0.11123003396038093,0.016484955943766987
148567,0.27295166212401545,0.010206834457236687
148568,0.21534838457409847,-0.00276019391330904
148569,0.28511007846461145,0.01703595091818913
149322,0.12943747347537907,-0.010418274594868862
149323,0.25935172208113566,0.0023187751953312164
149324,0.29512881720981615,0.036138447024453936
