amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,fund_score
100016,0.026352458116335464,-50.78230102503668,0.03140466923064909,0.005301624145600864,-0.24734440880673303,1.55,37.0,35.0,39.0,32.0,34.0,99.10158949550795
100025,0.04455091155784441,-142.90788779761655,0.04358714357672734,-0.0032473994891285456,-0.04308263824636349,0.56,36.0,39.0,38.0,2.0,4.0,79.75120939875605
100033,0.30099703552874524,275.612083370727,0.262278075624826,0.024856626606138143,-0.16217208574644848,1.38,7.0,7.0,7.0,17.0,20.0,27.090532135452666
101206,0.23520488754230384,258.85775862459315,0.2115156734922711,-4.9646233096418224e-05,-0.11291596329323073,1.6,12.0,9.0,14.0,36.5,9.0,41.53420870767105
101207,0.07933120999915699,40.99051386018987,0.11857601092045428,-0.024013612869820743,-0.3544691649336603,1.53,27.0,28.0,26.0,28.5,38.0,78.43814789219074
101208,0.06504429821332125,-205.5229767130243,0.061093977320185025,0.00012591078476897752,-0.0016224980244717857,0.79,32.0,40.0,35.0,11.0,3.0,78.92190739460955
102885,0.18218826089343754,205.90903301205807,0.16897997950486243,-0.00820838805891718,-0.1085986215250232,1.57,18.0,16.0,19.0,34.0,7.0,52.52246026261229
102886,0.0117093879842316,-51.869565179385184,0.030099587290575443,-0.02971041698121618,-0.2800112356639287,1.51,40.0,36.0,40.0,24.5,35.0,100.0
102887,0.16828673461948984,156.11843270091168,0.15230496635065355,0.01320222226595817,-0.21539827112383225,1.64,20.0,22.0,22.0,39.5,30.0,68.6247408431237
118632,0.2403119561352478,272.57811319511745,0.2128361650325462,0.018332146495204583,-0.17414075086657232,1.51,11.0,8.0,12.0,24.5,23.0,37.802349689011756
118633,0.16262218000296524,162.59227444991703,0.1573496512520716,-0.01520802604403047,-0.18629743138595511,0.72,22.0,21.0,20.0,5.5,26.0,53.282653766413276
118634,0.16361396476593382,113.00537024506583,0.18144059903772602,0.016159386582977005,-0.2334488614483311,1.53,21.0,26.0,17.0,28.5,32.0,65.44574982722877
